id,name,gridcode,size,length,discharge,pop,NoRiparian,GDPcap,add
79,Kuskokwim,16431,125,0,0,0,0,0,0
80,Copper,16466,63,0,0,0,0,0,0
81,Thlewiaza,16566,68,0,0,0,0,0,0
82,Apuka,16905,16,0,0,0,0,0,0
83,Arnaud,17056,50,0,0,0,0,0,0
84,Snamum,17073,15,0,0,0,0,0,0
85,Neva,17102,261,0,0,0,0,0,0
86,Alsek,17387,31,0,0,0,0,0,0
87,Seal,17474,64,0,0,0,0,0,0
88,Numedalslagen,17512,9,0,0,0,0,0,0
89,Glomma,17514,43,0,0,0,0,0,0
90,Lake Malar,17528,22,0,0,0,0,0,0
91,Narva,17542,55,0,0,0,0,0,0
92,Kuhtuj,17772,11,0,0,0,0,0,0
93,Mulchatna,17812,34,0,0,0,0,0,0
94,Kvichak,17814,33,0,0,0,0,0,0
95,Churchill,17913,307,0,0,0,0,0,0
96,Riviere aux Feuilles,17934,46,0,0,0,0,0,0
97,George,17939,43,0,0,0,0,0,0
98,Koroc,17940,10,0,0,0,0,0,0
99,Porsgrunn,17961,11,0,0,0,0,0,0
100,Taku,18251,21,0,0,0,0,0,0
101,Koksoak,18355,140,0,0,0,0,0,0
102,Riviere a la Baleine,18356,36,0,0,0,0,0,0
103,Sira,18378,3,0,0,0,0,0,0
104,Otra,18380,6,0,0,0,0,0,0
105,Lake Vättern,18394,20,0,0,0,0,0,0
106,Göta älv,18792,50,0,0,0,0,0,0
107,Nelson,19156,1171,0,0,0,0,0,0
108,Dee,19203,5,0,0,0,0,0,0
109,Eman,19220,7,0,0,0,0,0,0
110,Daugava,19230,102,0,0,0,0,0,0
111,Stikine,19492,53,0,0,0,0,0,0
112,Fraser,19612,9,0,0,0,0,0,0
113,Ätran,19630,5,0,0,0,0,0,0
114,Lagan,19631,12,0,0,0,0,0,0
115,Severn,19993,102,0,0,0,0,0,0
116,Kogaluk,20027,10,0,0,0,0,0,0
117,Fourth,20036,3,0,0,0,0,0,0
118,Tay,20037,5,0,0,0,0,0,0
119,Kamchatka,20303,56,0,0,0,0,0,0
120,Winisk,20826,70,0,0,0,0,0,0
121,Grande Riviere de la Baleine,20834,44,0,0,0,0,0,0
122,Neman,20903,97,0,0,0,0,0,0
123,Nass,21164,21,0,0,0,0,0,0
124,Pregolya,21341,20,0,0,0,0,0,0
125,Uda,21571,60,0,0,0,0,0,0
126,Skeena,21606,57,0,0,0,0,0,0
127,Vistula,21789,196,0,0,0,0,0,0
128,La Grande,22152,99,0,0,0,0,0,0
129,Eagle,22196,20,0,0,0,0,0,0
130,Derwent,22213,24,0,0,0,0,0,0
131,Weser,22218,50,0,0,0,0,0,0
132,Elbe,22219,147,0,0,0,0,0,0
133,Peene,22230,9,0,0,0,0,0,0
134,Oder,22231,119,0,0,0,0,0,0
135,Tugur,22475,13,0,0,0,0,0,0
136,Ekwan,22599,24,0,0,0,0,0,0
137,Ems,22677,15,0,0,0,0,0,0
138,Amur,22944,1874,0,0,0,0,0,0
139,Attawapiskat,23059,68,0,0,0,0,0,0
140,Alexis,23109,8,0,0,0,0,0,0
141,Great Ouse,23128,15,0,0,0,0,0,0
142,Albany,23522,141,0,0,0,0,0,0
143,Eastmain,23526,45,0,0,0,0,0,0
144,Rhine,23596,170,0,0,0,0,0,0
145,Wye,24046,10,0,0,0,0,0,0
146,Severn,24047,11,0,0,0,0,0,0
147,Thames,24053,15,0,0,0,0,0,0
148,Meuse,24055,37,0,0,0,0,0,0
149,Tym,24334,8,0,0,0,0,0,0
150,Moose,24439,111,0,0,0,0,0,0
151,Harricanaw,24441,42,0,0,0,0,0,0
152,Nottaway,24443,139,0,0,0,0,0,0
153,St Augustin,24483,12,0,0,0,0,0,0
154,Scheldt,24506,24,0,0,0,0,0,0
155,Avon,24938,4,0,0,0,0,0,0
156,Ste Marguerite,25352,10,0,0,0,0,0,0
157,Natashquan,25362,17,0,0,0,0,0,0
158,Petit Mecatina,25366,25,0,0,0,0,0,0
159,Seine,25800,76,0,0,0,0,0,0
160,Fraser,26093,237,0,0,0,0,0,0
161,Outardes,26202,20,0,0,0,0,0,0
162,Manicouagan,26203,50,0,0,0,0,0,0
163,Lake Hulun,26466,211,0,0,0,0,0,0
164,Tumnin,26511,24,0,0,0,0,0,0
165,Poronay,26514,10,0,0,0,0,0,0
166,St-Jean,26641,6,0,0,0,0,0,0
167,Koppi,26945,10,0,0,0,0,0,0
168,Saguenay,27062,92,0,0,0,0,0,0
169,Torgaj,27224,166,0,0,0,0,0,0
170,Nepisiguit,27500,6,0,0,0,0,0,0
171,Vilaine,27521,12,0,0,0,0,0,0
172,Loire,27939,119,0,0,0,0,0,0
173,Don,28022,438,0,0,0,0,0,0
174,St. Lawrence,28332,1048,0,0,0,0,0,0
175,Southern Bug,28426,64,0,0,0,0,0,0
176,Dnieper,28427,512,0,0,0,0,0,0
177,Oral,28466,217,0,0,0,0,0,0
178,Columbia,28646,668,0,0,0,0,0,0
179,Sevre Niortaise,28775,9,0,0,0,0,0,0
180,Nistru,28838,72,0,0,0,0,0,0
181,Charente,29185,11,0,0,0,0,0,0
182,Piave,29213,6,0,0,0,0,0,0
183,Volga,29277,1390,0,0,0,0,0,0
184,Lake Balkash,29327,414,0,0,0,0,0,0
185,Garonne-Dordogne,29586,84,0,0,0,0,0,0
186,Adige,29612,21,0,0,0,0,0,0
187,Danube,29646,797,0,0,0,0,0,0
188,Kuban,29656,57,0,0,0,0,0,0
189,Lake Aral,29702,1038,0,0,0,0,0,0
190,Lake Ysyk,29714,337,0,0,0,0,0,0
191,St Croix,29979,9,0,0,0,0,0,0
192,Po,30015,85,0,0,0,0,0,0
193,Penobscot,30371,22,0,0,0,0,0,0
194,Umpqua,30645,16,0,0,0,0,0,0
195,Kennebec,30754,31,0,0,0,0,0,0
196,Adour,30764,16,0,0,0,0,0,0
197,Arno,30784,11,0,0,0,0,0,0
198,Terek,30836,68,0,0,0,0,0,0
199,Rhone,31160,102,0,0,0,0,0,0
200,Razdol'naja,31383,20,0,0,0,0,0,0
201,Rogue,31403,14,0,0,0,0,0,0
202,Minho,31873,18,0,0,0,0,0,0
203,Tumen,32108,36,0,0,0,0,0,0
204,Klamath,32117,37,0,0,0,0,0,0
205,lima,32227,5,0,0,0,0,0,0
206,Tiber,32254,20,0,0,0,0,0,0
207,Drin,32263,28,0,0,0,0,0,0
208,Halys,32289,78,0,0,0,0,0,0
209,Connecticut,32576,34,0,0,0,0,0,0
210,Douro,32581,100,0,0,0,0,0,0
211,Sakarya,32641,57,0,0,0,0,0,0
212,Eel,32839,7,0,0,0,0,0,0
213,Hudson,32940,34,0,0,0,0,0,0
214,Ebro,32963,90,0,0,0,0,0,0
215,Struma,32986,19,0,0,0,0,0,0
216,Maritsa,32991,53,0,0,0,0,0,0
217,Liao,33181,224,0,0,0,0,0,0
218,Hun,33182,26,0,0,0,0,0,0
219,Mondego,33304,7,0,0,0,0,0,0
220,Tirso,33324,7,0,0,0,0,0,0
221,Area Taklamakan,33477,1036,0,0,0,0,0,0
222,Delaware,33655,28,0,0,0,0,0,0
223,Turia,33676,9,0,0,0,0,0,0
224,Yalu,33895,63,0,0,0,0,0,0
225,Susquehanna,34003,77,0,0,0,0,0,0
226,Jucar,34026,24,0,0,0,0,0,0
227,Neto,34037,5,0,0,0,0,0,0
228,Kura,34094,191,0,0,0,0,0,0
229,Lake Hauz-Hanskoe vodohranilisce,34103,300,0,0,0,0,0,0
230,Luan,34234,49,0,0,0,0,0,0
231,Potomac,34342,34,0,0,0,0,0,0
232,Tagus,34348,85,0,0,0,0,0,0
233,Gediz,34386,19,0,0,0,0,0,0
234,Hai,34568,228,0,0,0,0,0,0
235,Taedong,34571,22,0,0,0,0,0,0
236,Sacramento,34586,115,0,0,0,0,0,0
237,Sado,34681,7,0,0,0,0,0,0
238,Segura,34697,24,0,0,0,0,0,0
239,Belice,35034,5,0,0,0,0,0,0
240,Büyük Menderes,35054,27,0,0,0,0,0,0
241,Sefid,35100,65,0,0,0,0,0,0
242,Yellow,35237,759,0,0,0,0,0,0
243,Han,35244,34,0,0,0,0,0,0
244,James,35348,32,0,0,0,0,0,0
245,Guadiana,35354,68,0,0,0,0,0,0
246,Salso,35378,5,0,0,0,0,0,0
247,Atrek,35444,56,0,0,0,0,0,0
248,Guadalquivir,35693,56,0,0,0,0,0,0
249,Roanoke,36358,27,0,0,0,0,0,0
250,Kum,36565,15,0,0,0,0,0,0
251,Naktong,36902,25,0,0,0,0,0,0
252,Cape Fear,37332,28,0,0,0,0,0,0
253,Lake Chott el Djerid,37360,625,0,0,0,0,0,0
254,Xinyi,37536,18,0,0,0,0,0,0
255,Huai,37537,71,0,0,0,0,0,0
256,Pee Dee,37942,86,0,0,0,0,0,0
257,Savannah,38559,31,0,0,0,0,0,0
258,Colorado,38801,635,0,0,0,0,0,0
259,Nile,38935,2889,0,0,0,0,0,0
260,Yangtze,39108,1922,0,0,0,0,0,0
261,Oconee,39185,42,0,0,0,0,0,0
262,Lake Hamun-e Saberi,39322,346,0,0,0,0,0,0
263,Concepcion,39451,29,0,0,0,0,0,0
264,Mobile,39502,111,0,0,0,0,0,0
265,Pearl,39829,26,0,0,0,0,0,0
266,Area Cyrenaica,39906,819,0,0,0,0,0,0
267,Sabine,40157,53,0,0,0,0,0,0
268,Chattahoochee,40167,55,0,0,0,0,0,0
269,Euphrates-Tigris,40294,871,0,0,0,0,0,0
270,Mississippi,40485,3235,0,0,0,0,0,0
271,Sonora,40759,35,0,0,0,0,0,0
272,Colorado,40791,113,0,0,0,0,0,0
273,Brazos,40792,123,0,0,0,0,0,0
274,Yaqui,41387,86,0,0,0,0,0,0
275,Nueces,41414,46,0,0,0,0,0,0
276,Rio Grande,42615,489,0,0,0,0,0,0
277,Conchos,43197,20,0,0,0,0,0,0
278,Area Rub Al Khali,43609,796,0,0,0,0,0,0
279,Indus,43904,838,0,0,0,0,0,0
280,Ganges-Brahmaputra,44515,1572,0,0,0,0,0,0
281,Pearl,44560,399,0,0,0,0,0,0
282,Panuco,44588,92,0,0,0,0,0,0
283,Sabarmati,44763,40,0,0,0,0,0,0
284,Mahi,44764,37,0,0,0,0,0,0
285,Mezquital,44857,28,0,0,0,0,0,0
286,Río Grande de Santiago,44858,132,0,0,0,0,0,0
287,Narmada,45051,103,0,0,0,0,0,0
288,Tapti,45327,66,0,0,0,0,0,0
289,Brahmani,45611,54,0,0,0,0,0,0
290,Mahanadi,45858,144,0,0,0,0,0,0
291,Papaloapan,46397,47,0,0,0,0,0,0
292,Grijalva,46400,59,0,0,0,0,0,0
293,Usumacinta,46401,74,0,0,0,0,0,0
294,Balsas,46884,117,0,0,0,0,0,0
295,Wadi Huwar,47238,320,0,0,0,0,0,0
296,Senegal,47580,334,0,0,0,0,0,0
297,Godavari,47731,320,0,0,0,0,0,0
298,Salween,47738,289,0,0,0,0,0,0
299,Krishna,47940,266,0,0,0,0,0,0
300,Ayeyarwady,47944,394,0,0,0,0,0,0
301,Lake Chad,48842,1406,0,0,0,0,0,0
302,Cauvery,49855,81,0,0,0,0,0,0
303,Mekong,50068,793,0,0,0,0,0,0
304,Orinoco,50529,961,0,0,0,0,0,0
305,Volta,51703,406,0,0,0,0,0,0
306,Niger,52220,1791,0,0,0,0,0,0
307,Amazonas,53561,5922,0,0,0,0,0,0
308,Jubba,53813,779,0,0,0,0,0,0
309,Tocantins,54118,876,0,0,0,0,0,0
310,Congo,56139,3695,0,0,0,0,0,0
311,Sao Francisco,57622,640,0,0,0,0,0,0
312,Zambezi,60520,1382,0,0,0,0,0,0
313,Okavango,61205,704,0,0,0,0,0,0
314,Limpopo,62875,422,0,0,0,0,0,0
315,Lake Eyre,63903,1068,0,0,0,0,0,0
316,Orange,63983,955,0,0,0,0,0,0
317,Uruguay,65372,358,0,0,0,0,0,0
318,Parana,65481,2569,0,0,0,0,0,0
319,Murray,65728,1058,0,0,0,0,0,0
320,Colorado,66154,352,0,0,0,0,0,0
321,Global,0,149000,0,0,7000,195,10000,0
