id,name,gridcode,size,length,discharge,pop,NoRiparian,GDPcap,add
0,Taymyr,2479,127,0,0,0,0,0,0
1,Pyasina,3549,172,0,0,0,0,0,0
2,Popigay,3851,53,0,0,0,0,0,0
3,Anabar,3865,105,0,0,0,0,0,0
4,Khatanga,4137,311,0,0,0,0,0,0
5,Olenyok,4170,205,0,0,0,0,0,0
6,Lena,4479,2461,0,0,0,0,0,0
7,Jana,4798,224,0,0,0,0,0,0
8,Kuujjua,4849,19,0,0,0,0,0,0
9,Meade,5191,13,0,0,0,0,0,0
10,Indigirka,5543,360,0,0,0,0,0,0
11,Alazeya,5546,64,0,0,0,0,0,0
12,Colville,5586,58,0,0,0,0,0,0
13,Sagavanirktok,5592,18,0,0,0,0,0,0
14,Altaelva,5770,11,0,0,0,0,0,0
15,Tana,5780,16,0,0,0,0,0,0
16,Yenisei,5822,2544,0,0,0,0,0,0
17,Anderson,6041,69,0,0,0,0,0,0
18,Horton,6045,25,0,0,0,0,0,0
19,Reisa,6210,4,0,0,0,0,0,0
20,Paatsjoki,6228,20,0,0,0,0,0,0
21,Mackenzie,6524,1702,0,0,0,0,0,0
22,Malselva,6706,8,0,0,0,0,0,0
23,Tuloma,6736,27,0,0,0,0,0,0
24,Voronya,6741,10,0,0,0,0,0,0
25,Kolyma,6948,659,0,0,0,0,0,0
26,Peel,7049,78,0,0,0,0,0,0
27,Palyavaam,7514,30,0,0,0,0,0,0
28,Ellice,7656,20,0,0,0,0,0,0
29,Iokanga,7820,8,0,0,0,0,0,0
30,Pechora,7836,323,0,0,0,0,0,0
31,Coppermine,8199,64,0,0,0,0,0,0
32,Pur,8455,111,0,0,0,0,0,0
33,Taz,8457,140,0,0,0,0,0,0
34,Noatak,8676,34,0,0,0,0,0,0
35,Back,8810,111,0,0,0,0,0,0
36,Hayes,8811,24,0,0,0,0,0,0
37,Niva,8944,15,0,0,0,0,0,0
38,Ponoy,8962,17,0,0,0,0,0,0
39,Burnside,9358,26,0,0,0,0,0,0
40,Ob,9584,2497,0,0,0,0,0,0
41,Vefsna,10077,6,0,0,0,0,0,0
42,Ranelva,10078,9,0,0,0,0,0,0
43,Varzuga,10125,10,0,0,0,0,0,0
44,Mezen,10139,82,0,0,0,0,0,0
45,Nadym,10194,61,0,0,0,0,0,0
46,Lule,10692,26,0,0,0,0,0,0
47,Kalix,10695,21,0,0,0,0,0,0
48,Torne,10697,40,0,0,0,0,0,0
49,Kemijoki,10698,55,0,0,0,0,0,0
50,Imuruk Basin,11017,12,0,0,0,0,0,0
51,Pite,11280,15,0,0,0,0,0,0
52,Iijoki,11282,19,0,0,0,0,0,0
53,Namsen,11836,9,0,0,0,0,0,0
54,Skellefte,11856,15,0,0,0,0,0,0
55,Oulujoki,11859,29,0,0,0,0,0,0
56,Kem,11878,27,0,0,0,0,0,0
57,Northern Dvina,11886,362,0,0,0,0,0,0
58,Anadyr,12158,189,0,0,0,0,0,0
59,Pyhäjoki,12426,8,0,0,0,0,0,0
60,Vyg,12447,26,0,0,0,0,0,0
61,Chesterfield Inlet,12880,292,0,0,0,0,0,0
62,Lorillard,12883,12,0,0,0,0,0,0
63,Vindel,12978,28,0,0,0,0,0,0
64,Perhonjoki,12981,7,0,0,0,0,0,0
65,Onega,13011,55,0,0,0,0,0,0
66,Orkla,13502,4,0,0,0,0,0,0
67,Nidelva,13503,8,0,0,0,0,0,0
68,Yukon,13842,831,0,0,0,0,0,0
69,Indalsälven,14050,26,0,0,0,0,0,0
70,Angerman,14051,34,0,0,0,0,0,0
71,Ljungan,14587,17,0,0,0,0,0,0
72,Penzina,14876,81,0,0,0,0,0,0
73,Susitna,15452,56,0,0,0,0,0,0
74,Matanuska,15454,10,0,0,0,0,0,0
75,Ljusnan,15626,26,0,0,0,0,0,0
76,Kokemäenjoki,15627,31,0,0,0,0,0,0
77,Tha-anne,16067,16,0,0,0,0,0,0
78,Dal,16123,29,0,0,0,0,0,0
